MEME-ID,text,description,text_input,etiqueta_predicha
DS_IMG_2498.jpg,ESTA ES MI PELÍCULA DE FACEBOOK... BASTA!!!,"La imagen es un meme que presenta un estilo de cómic clásico. En el primer panel, un personaje, que es un héroe enmascarado identificado como Batman, dice: “ESTA ES MI PELÍCULA DE FACEBOOK…”. En el segundo panel, él abofetea a otro personaje, que es su compañero Robin, y le grita: “BASTA!!!”. El fondo es de color rojo, lo que enfatiza la acción dramática de la escena. Las expresiones faciales de los personajes son exageradas, típicas de los cómics, y la tipografía es grande y en mayúsculas, lo que resalta el mensaje.",película facebook bastar imagen meme presentar estilo cómic clásico panel personaje héroe enmascarado identificado batman película facebook panel abofetear personaje compañero robin gritar bastar fondo color rojo enfatizar acción dramático escena expresión facial personaje exagerada típico cómics tipografía mayúscula resaltar mensaje,ninguno
DS_IMG_178.jpg,La jevita cuando Martha Debayle le pide un vaso de agua con una jarrita mamarra y una servilleta coctelera. ¿Te parece que somos ricos?,"La imagen es un meme que muestra a una mujer con una expresión de sorpresa y descontento, con el cabello castaño y alborotado. Ella está sentada, mirando hacia la cámara, y parece estar en un entorno al aire libre, con un fondo que incluye una vegetación excesiva y ligeramente desenfocada. En la parte inferior de la imagen se encuentra un texto en un estilo de fuente grande que dice: ""¿Te parece que somos ricos?"" El meme hace referencia a una situación humorística relacionada con la exigencia de ciertos artículos, sugiriendo que son demasiado extravagantes. El tuit que acompaña la imagen menciona a Martha Debayle y sugiere un contexto de conversación informal. En la esquina superior izquierda se encuentra el nombre del autor del tuit y su cuenta de Twitter, junto con la fecha y la cantidad de reproducciones.",jevita martha debayle pedir vaso agua jarrita mamarro servilleta coctelero rico imagen meme mostrar mujer expresión sorpresa descontento cabello castaño alborotado sentado mirar cámara entorno aire libre fondo incluir vegetación excesivo ligeramente desenfocado inferior imagen texto estilo fuente rico meme referencia situación humorístico relacionado exigencia artículo sugerir extravagant tuit acompañar imagen mencionar martha debayle sugerir contexto conversación informal esquina superior izquierda nombre autor tuit twitter fecha cantidad reproducción,contenido inapropiado
DS_IMG_445.jpg,El principio de Pitufina ¿Sabes identificar cuando un cuento o una peli es sexista?,"La imagen presenta un meme que ilustra a varios personajes en un estilo de dibujo animado. En la parte superior se encuentra un texto que dice ""EL PRINCIPIO DE PITUFINA"". A la izquierda, hay un personaje masculino que sostiene un hacha y tiene una expresión amigable. A la derecha, hay una personaje femenina, Pitufina, con cabello largo y una expresión sonriente, caminando entre otros dos personajes masculinos: uno que sostiene un pincel y otro que tiene una expresión más seria y sostiene una vara. En la parte inferior, el texto pregunta: ""¿SABES IDENTIFICAR CUANDO UN CUENTO O UNA PELI ES SEXISTA?"", en un recuadro de color azul. El estilo general de la imagen es claro y colorido, con personajes en tonos suaves y un fondo simple.",principio pitufina identificar cuento peli sexista imagen presentar meme ilustrar personaje estilo dibujo animado superior texto principio pitufina izquierda personaje masculino sostener hacha expresión amigable derecha personaje femenino pitufín cabello expresión sonriente caminar personaje masculino sostener pincel expresión serio sostener vara inferior texto preguntar identificar cuento peli sexista recuadro color azul estilo general imagen colorido personaje tono suave fondo simple,ninguno
DS_IMG_1960.jpg,Si estás triste porque vas a pasar solo el San Valentín... Recuerda que también vas a estar solo el resto del año.,"La imagen es un meme que presenta una fotografía de un gato con una expresión facial descontenta. El gato tiene pelaje blanco con manchas marrones y una expresión de desdén. En la parte superior de la imagen, hay texto en blanco que dice: ""Si estás triste porque vas a pasar solo el San Valentín..."". En la parte inferior, el texto continúa: ""Recuerda que también vas a estar solo el resto del año!"", también en un color blanco. El fondo de la imagen es negro, lo que hace que el texto resalte.",estar triste ir pasar san valentín recordar vas resto año imagen meme presentar fotografía gato expresión facial descontentar gato pelaje blanco mancha marrón expresión desdén superior imagen texto blanco estar triste ir pasar san valentín inferior texto continuar recordar vas resto año color blanco fondo imagen negro texto resalte,ninguno
DS_IMG_1294.jpg,Míralos ahí muy rudos pero uno fue niñera y el otro un hada.,"La imagen es un meme que está dividido en dos partes. En la parte superior, se muestra una escena de acción donde dos hombres están en una pelea, con expresiones de esfuerzo y determinación. La imagen de la izquierda muestra a un hombre de cabello corto con una camiseta azul, mientras que a la derecha está un hombre musculoso con una camiseta oscura. En la parte inferior, hay dos imágenes más pequeñas: a la izquierda, un hombre con un atuendo militar cargado de accesorios, y a la derecha, un hombre con una camisa azul que hace un gesto de desprecio. Sobre la imagen, hay un texto que dice: ""Míralos ahí muy rudos pero uno fue niñera y el otro un hada"", lo que parece contrastar las imágenes de acción con las identidades de los personajes.",míralo rudo niñera hada imagen meme dividido parte superior mostrar escena acción hombre pelea expresión esfuerzo determinación imagen izquierda mostrar hombre cabello corto camiseta azul derecha hombre musculoso camiseta oscuro inferior imagen pequeño izquierda hombre atuendo militar cargado accesorio derecha hombre camisa azul gesto desprecio imagen texto míralos rudo niñera hada contrastar imagen acción identidad personaje,clasismo
DS_IMG_707.jpg,Mi cara cuando salgo del trabajo Sabendo que no hice nada en todo el día.,"La imagen es un meme que presenta una fotografía de un niño pequeño con una expresión facial de risa amplia y alegre. El niño lleva una camisa de cuadros en tonos rojos y azul, y está sentado sobre un fondo verde con césped. En la parte superior de la imagen, hay un texto en letras grandes que dice ""Mi cara cuando salgo del trabajo"". En la parte inferior, se encuentra otro texto que dice ""Sabiendo que no hice nada en todo el día"", en un formato similar. El logo ""Quebolu"" está presente en la esquina superior derecha.",cara salgo trabajo sabendo hacer imagen meme presentar fotografía niño pequeño expresión facial risa amplio alegre niño camisa cuadro tono rojo azul sentado fondo verde césped superior imagen texto letra cara salgo trabajo inferior texto saber hacer formato similar logo quebolu presente esquina superior derecho,ninguno
DS_IMG_865.jpg,"ella era bella, frágil como una rosa. él era una bestia esclavo de sus impulsos.","La imagen es un meme dividido en dos paneles. En el panel superior, hay una fotografía en blanco y negro de una joven con una expresión amable y una sonrisa. Ella tiene el cabello largo y oscuro, y viste una blusa con detalles decorativos. El texto que acompaña esta imagen dice: ""ella era bella, frágil como una rosa"".

En el panel inferior, aparece una imagen de un hombre con un uniforme militar, luciendo una expresión seria y desafiante. El fondo es montañoso con colores suaves. El texto que acompaña este panel dice: ""él era una bestia esclavo de sus impulsos"". La combinación del texto y las imágenes sugiere un contraste entre la fragilidad y la belleza del primer personaje y la brutalidad del segundo.","bello frágil rosa bestia esclavo impulso imagen meme dividido panel panel superior fotografía blanco negro joven expresión amable sonrisa cabello oscuro ver blusa detalle decorativo texto acompañar imagen bello frágil rosa 

 panel inferior aparecer imagen hombre uniforme militar lucir expresión serio desafiante fondo montañoso color suave texto acompañar panel bestia esclavo impulso combinación texto imagen sugerir contraste fragilidad belleza personaje brutalidad",sexismo
DS_IMG_996.jpg,Bienvenidos hoy les enseñaré a bailar el gusanito.,"La imagen es un meme que presenta a un hombre acostado sobre una mesa, apoyando su torso mientras sonríe. El fondo es de un ambiente interior, posiblemente una sala de clases o un aula, que contiene una pared clara y algunos objetos en el espacio. El texto en la parte superior dice ""BIENVENIDOS"" y en la parte inferior ""HOY LES ENSEÑARÉ A BAILAR EL GUSANITO"", en letras mayúsculas y de gran tamaño, lo que sugiere un tono humorístico o informal.",bienvenido enseñar bailar gusanito imagen meme presentar hombre acostado mesa apoyar torso sonreír fondo ambiente interior posiblemente sala clase aula contener pared claro objeto espacio texto superior bienvenido inferior enseñar bailar gusanito letra mayúsculo tamaño sugerir tono humorístico informal,ninguno
DS_IMG_551.jpg,Por ser el día de la mujer pones Wi-Fi en la cocina :V Hazlo para mantener contenta a la babosa xdxD,"La imagen es un meme que presenta un texto en la parte superior que dice: ""Por ser el día de la mujer pones Wi-Fi en la cocina :V"". En la parte inferior, hay un texto que dice: ""Hazlo para mantener contenta a la babosa xD"". El personaje en el meme tiene el cabello corto y oscuro, con una expresión de confianza, mientras levanta una mano. El fondo muestra un entorno colorido con elementos fantasiosos, como criaturas y vegetación, lo que sugiere un ambiente animado o de aventura. El estilo es humorístico y la combinación de texto e imagen busca generar una reacción cómica.",mujer pón wi-fi cocina v hazlo mantener contentar babós xdxdir imagen meme presentar texto superior mujer pón wi-fi cocina v inferior texto hazloir mantener contentar babós xd personaje meme cabello corto oscuro expresión confianza levantar mano fondo mostrar entorno colorido elemento fantasioso criatura vegetación sugerir ambiente animado aventura estilo humorístico combinación texto imagen buscar generar reacción cómico,sexismo
DS_IMG_163.jpg,"Premios de la Academia: Clasismo, racismo y hasta Sergio Goyri; Alfonso Cuarón.","La imagen es un meme que consta de dos paneles extraídos de una escena de una serie animada. En el primer panel, un personaje con una apariencia de mapache está sosteniendo una caja, mientras que un segundo personaje, que parece un ave azul, señala la caja. El texto encima de cada personaje se encuentra en español, mencionando ""Premios de la Academia"" y ""Clasismo, racismo y hasta Sergio Goyri"". En el segundo panel, el ave azul le entrega una caja al mapache, y el texto menciona ""Alfonso Cuarón"". El entorno es de una habitación con paredes claras y un cuadro en la ventana.",premio academia clasismo racismo sergio goyri alfonso cuarón imagen meme constar panel extraído escena serie animado panel personaje apariencia mapache sostener caja personaje ave azul señalar caja texto personaje español mencionar premio academia clasismo racismo sergio goyri panel ave azul entregar caja mapache texto mencionar alfonso cuarón entorno habitación pared claro cuadro ventana,clasismo
